"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2018","1,331.90","1,330.10","1,333.00","1,330.10","0.05K","0.44%"
"Jan 18, 2018","1,326.00","1,328.90","1,328.90","1,326.60","0.21K","-0.90%"
"Jan 17, 2018","1,338.00","1,334.40","1,334.40","1,326.80","0.03K","0.19%"
"Jan 16, 2018","1,335.40","1,331.10","1,332.50","1,331.00","0.01K","-0.48%"
"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00","-","0.33%"
"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40","-","0.30%"
"Jan 12, 2018","1,333.40","1,327.80","1,338.20","1,327.80","0.01K","0.97%"
"Jan 11, 2018","1,320.60","1,317.10","1,317.10","1,316.30","0.01K","0.24%"
"Jan 10, 2018","1,317.40","1,320.30","1,320.70","1,315.30","0.07K","0.43%"
"Jan 09, 2018","1,311.70","1,309.60","1,309.60","1,309.60","0.02K","-0.52%"
"Jan 08, 2018","1,318.60","1,319.90","1,319.90","1,314.60","0.04K","-0.13%"
"Jan 05, 2018","1,320.30","1,320.30","1,320.30","1,320.30","0.00K","0.07%"
"Jan 04, 2018","1,319.40","1,322.00","1,322.00","1,321.90","0.00K","0.24%"
"Jan 03, 2018","1,316.20","1,320.00","1,320.10","1,312.10","0.04K","0.19%"
"Jan 02, 2018","1,313.70","1,302.30","1,317.60","1,302.30","0.07K","0.38%"
"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60","-","0.18%"
